wl_position,days_before_travel,class_type,train_type,route_demand_score,season_index,day_of_week,confirmed
39,99,SL,Duronto,0.2056,0.9922,Thu,0
52,32,1A,Rajdhani,0.9756,0.8141,Mon,1
29,117,1A,Duronto,0.5103,0.7673,Wed,0
15,36,1A,Superfast,0.8201,0.7912,Sun,0
43,31,3A,Express,0.0203,0.6349,Sat,0
8,42,2A,Duronto,0.1515,0.9969,Fri,1
21,62,2A,Superfast,0.3331,0.4419,Sun,1
39,35,2A,Express,0.7095,0.9138,Wed,1
58,97,SL,Duronto,0.3088,0.3639,Mon,1
19,48,2A,Mail,0.7766,0.5267,Sat,1
23,24,1A,Express,0.1315,0.747,Sun,0
11,107,3A,Superfast,0.444,0.4526,Sat,1
11,95,2A,Mail,0.3191,0.4073,Thu,0
24,65,1A,Superfast,0.0983,0.6982,Wed,0
53,8,2A,Duronto,0.7253,0.0298,Mon,0
36,101,SL,Superfast,0.8779,0.357,Tue,1
40,92,1A,Rajdhani,0.8749,0.529,Sat,0
24,101,SL,Superfast,0.2661,0.2094,Thu,0
3,17,3A,Superfast,0.9671,0.8268,Tue,1
22,21,3A,Mail,0.8007,0.0181,Fri,0
53,98,SL,Superfast,0.2391,0.1879,Sun,0
2,14,2A,Express,0.8768,0.3702,Sun,1
24,6,SL,Superfast,0.1912,0.6053,Sun,0
44,12,1A,Duronto,0.1482,0.3147,Mon,0
30,105,SL,Rajdhani,0.88,0.9937,Fri,0
38,35,SL,Rajdhani,0.9245,0.1498,Wed,1
2,15,3A,Superfast,0.4525,0.5711,Fri,1
60,40,1A,Rajdhani,0.6533,0.2781,Tue,0
21,20,3A,Mail,0.3203,0.2984,Fri,0
33,27,1A,Rajdhani,0.7651,0.0158,Tue,1
12,73,3A,Duronto,0.8372,0.2996,Thu,0
58,82,3A,Superfast,0.2008,0.8255,Fri,0
22,16,2A,Rajdhani,0.693,0.266,Sat,0
44,64,3A,Duronto,0.8868,0.5746,Sat,1
25,12,3A,Rajdhani,0.7676,0.7691,Mon,1
49,35,2A,Duronto,0.793,0.7876,Sat,0
27,110,1A,Superfast,0.2302,0.9539,Tue,0
59,57,2A,Duronto,0.826,0.6383,Mon,0
42,105,SL,Rajdhani,0.508,0.9654,Mon,0
28,19,2A,Duronto,0.0119,0.1482,Wed,0
60,104,2A,Superfast,0.6678,0.1576,Fri,0
16,103,3A,Duronto,0.7759,0.517,Fri,0
